"id","LGA","state_id"
"1","Ukwa East","1"
"2","Ohafia","1"
"3","Umuahia South","1"
"4","Umuahia North","1"
"5","Arochukwu","1"
"6","Isiala Ngwa South","1"
"7","Ikwuano","1"
"8","Obi Ngwa","1"
"9","Aba North","1"
"10","Isiala Ngwa North","1"
"11","Obi Ngwa","1"
"12","Umu Nneochi","1"
"13","Ukwa West","1"
"14","Ugwunagbo","1"
"15","Isuikwuato","1"
"16","Osisioma","1"
"17","Aba South","1"
"18","Bende","1"
"19","Mubi South","2"
"20","Fufure","2"
"21","Mayo Belwa","2"
"22","Numan","2"
"23","Ganye","2"
"24","Jada","2"
"25","Michika","2"
"26","Song","2"
"27","Madagali","2"
"28","Toungo","2"
"29","Maiha","2"
"30","Gayuk","2"
"31","Hong","2"
"32","Lamurde","2"
"33","Mubi North","2"
"34","Demsa","2"
"35","Grie","2"
"36","Gombi","2"
"37","Yola North","2"
"38","Yola South","2"
"39","Shelleng","2"
"40","Ika","3"
"41","Udung-Uko","3"
"42","Abak","3"
"43","Eastern Obolo","3"
"44","Itu","3"
"45","Etinan","3"
"46","Ikot Ekpene","3"
"47","Onna","3"
"48","Mkpat-Enin","3"
"49","Nsit-Ubium","3"
"50","Obot Akara","3"
"51","Oron","3"
"52","Obot Akara","3"
"53","Ibiono-Ibom","3"
"54","Eket","3"
"55","Ikono","3"
"56","Ini","3"
"57","Essien Udim","3"
"58","Ukanafun","3"
"59","Mbo","3"
"60","Esit Eket","3"
"61","Etim Ekpo","3"
"62","Ibeno","3"
"63","Ikot Abasi","3"
"64","Nsit-Atai","3"
"65","Nsit-Ibom","3"
"66","Oruk Anam","3"
"67","Okobo","3"
"68","Uruan","3"
"69","Uyo","3"
"70","Ibesikpo Asutan","3"
"71","Urue-Offong/Oruko","3"
"72","Orumba South","4"
"73","Njikoka","4"
"74","Ihiala","4"
"75","Ayamelum","4"
"76","Dunukofia","4"
"77","Aguata","4"
"78","Orumba North","4"
"79","Idemili South","4"
"80","Ogbaru","4"
"81","Oyi","4"
"82","Anaocha","4"
"83","Ekwusigo","4"
"84","Onitsha South","4"
"85","Nnewi South","4"
"86","Onitsha North","4"
"87","Anambra East","4"
"88","Anambra West","4"
"89","Awka North","4"
"90","Awka South","4"
"91","Idemili North","4"
"92","Nnewi North","4"
"93","Warji","5"
"94","Ningi","5"
"95","Kirfi","5"
"96","Giade","5"
"97","Zaki","5"
"98","Damban","5"
"99","Tafawa Balewa","5"
"100","Bauchi","5"
"101","Dass","5"
"102","Jama'are","5"
"103","Alkaleri","5"
"104","Shira","5"
"105","Katagum","5"
"106","Itas/Gadau","5"
"107","Ganjuwa","5"
"108","Toro","5"
"109","Misau","5"
"110","Darazo","5"
"111","Gamawa","5"
"112","Bogoro","5"
"113","Brass","6"
"114","Southern Ijaw","6"
"115","Yenagoa","6"
"116","Ogbia","6"
"117","Sagbama","6"
"118","Ekeremor","6"
"119","Kolokuma/Opokuma","6"
"120","Nembe","6"
"121","Buruku","7"
"122","Ushongo","7"
"123","Oturkpo","7"
"124","Ado","7"
"125","Gboko","7"
"126","Guma","7"
"127","Gwer West","7"
"128","Katsina-Ala","7"
"129","Makurdi","7"
"130","Tarka","7"
"131","Logo","7"
"132","Oju","7"
"133","Agatu","7"
"134","Apa","7"
"135","Ohimini","7"
"136","Obi","7"
"137","Vandeikya","7"
"138","Obi","7"
"139","Konshisha","7"
"140","Okpokwu","7"
"141","Ukum","7"
"142","Ogbadibo","7"
"143","Gwer East","7"
"144","Kwande","7"
"145","Abadam","8"
"146","Gwoza","8"
"147","Maiduguri","8"
"148","Chibok","8"
"149","Kaga","8"
"150","Bayo","8"
"151","Dikwa","8"
"152","Kukawa","8"
"153","Damboa","8"
"154","Jere","8"
"155","Magumeri","8"
"156","Kala/Balge","8"
"157","Nganzai","8"
"158","Monguno","8"
"159","Kwaya Kusar","8"
"160","Mafa","8"
"161","Mobbar","8"
"162","Askira/Uba","8"
"163","Bama","8"
"164","Biu","8"
"165","Hawul","8"
"166","Shani","8"
"167","Konduga","8"
"168","Ngala","8"
"169","Gubio","8"
"170","Guzamala","8"
"171","Marte","8"
"172","Calabar Municipal","9"
"173","Obubra","9"
"174","Yakuur","9"
"175","Abi","9"
"176","Yala","9"
"177","Biase","9"
"178","Bakassi","9"
"179","Odukpani","9"
"180","Etung","9"
"181","Obubra","9"
"182","Obudu","9"
"183","Akamkpa","9"
